"government_id","国家体制名","分類","説明","税収補正","徴兵効率補正","統治力補正","文化補正","信仰力補正","研究効率補正","外交補正","治安補正","維持費補正","固有効果","デメリット","解放条件"
"G001","君主制","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G002","貴族制","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G003","神権政治","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G004","共和制","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G005","軍事政権","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G006","遊牧国家","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G007","戦略家","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G008","経済通","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G009","神聖君主","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G010","学者王","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G011","独裁者","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G012","放任主義","国家体制","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G013","光の神","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G014","戦の神","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G015","知識の神","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G016","大地の神","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G017","混沌の神","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G018","聖なる大地","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G019","精霊信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G020","火山信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G021","海の信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G022","風の信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G023","英雄信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
"G024","祖霊信仰","信仰","(仮)未設定","0","0","0","0","0","0","0","0","0","(仮)未設定","(仮)未設定","(仮)なし"
