"項目カテゴリ","項目名","影響タイプ","影響先パラメータ","備考"
"通常","魔法都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","軍事都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","交易都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","信仰都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","産業都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","農業都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","学術都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","放浪都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","水上都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","地下都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","死者の都","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","神秘都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","城塞都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"通常","空中都市","都市補正","資源産出|防衛力|人口成長|文化獲得|信仰力獲得","(仮)調整予定"
"レア","古代遺跡都市","追加ボーナス","通常枠加算ボーナス|特殊アクション解放","通常枠と重複可"
"レア","龍脈都市","追加ボーナス","通常枠加算ボーナス|特殊アクション解放","通常枠と重複可"
"レア","門都市（異界接続）","追加ボーナス","通常枠加算ボーナス|特殊アクション解放","通常枠と重複可"
"遺産","世界樹の苗床","恒久強化","国家全体補正|恒久バフ|特殊勝利補助","(仮)調整予定"
"遺産","星見塔","恒久強化","国家全体補正|恒久バフ|特殊勝利補助","(仮)調整予定"
"遺産","鍛冶神の炉","恒久強化","国家全体補正|恒久バフ|特殊勝利補助","(仮)調整予定"
