"項目カテゴリ","項目名","影響タイプ","影響先パラメータ","備考"
"国家体制","君主制","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","貴族制","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","神権政治","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","共和制","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","軍事政権","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","遊牧国家","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","戦略家","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","経済通","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","神聖君主","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","学者王","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","独裁者","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
"国家体制","放任主義","恒久補正","税収|徴兵効率|治安|政策コスト|外交補正",""
